sample	cell	read_type	source
HG00733	m64076_211214_012715	HiFi	EEEext
HG00733	m64076_211215_225159	HiFi	EEEext
HG00733	m64076_211217_081943	HiFi	EEEext
HG00733	m64076_211218_173901	HiFi	EEEext
HG00733	m64076_211221_015212	HiFi	EEEext
